Prompt
"{""task"": ""Generate - **Classical Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Fluid Dynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Historical Literature Questions"", ""description"": ""Create a set of questions with solutions in the domain of Medieval Literature."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Historical Literature Questions"", ""description"": ""Create a set of questions with solutions in the domain of Renaissance Literature."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""German"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Historical Literature Questions"", ""description"": ""Create a set of questions with solutions in the domain of Enlightenment Literature.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Contemporary Literature Questions"", ""description"": ""Create a set of questions with solutions in the domain of Modernist Literature."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Swedish"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Contemporary Literature Questions"", ""description"": ""Create a set of questions with solutions in the domain of Postcolonial Literature."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""German"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Contemporary Literature Questions"", ""description"": ""Create a set of questions with solutions in the domain of Contemporary Fiction."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Contemporary Literature Questions"", ""description"": ""Create a set of questions with solutions in the domain of Digital Literature.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Indonesian"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Literary Criticism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Formalism."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Japanese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Literary Criticism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Structuralism."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Literary Criticism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Psychoanalytic Criticism."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Portuguese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Literary Criticism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Ecocriticism.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Creative Writing Questions"", ""description"": ""Create a set of questions with solutions in the domain of Fiction Writing."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Swahili"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Creative Writing Questions"", ""description"": ""Create a set of questions with solutions in the domain of Poetry Writing."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Creative Writing Questions"", ""description"": ""Create a set of questions with solutions in the domain of Scriptwriting."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Creative Writing Questions"", ""description"": ""Create a set of questions with solutions in the domain of Non-Fiction Writing.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Phonetics and Phonology Questions"", ""description"": ""Create a set of questions with solutions in the domain of Speech Sounds."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""German"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Phonetics and Phonology Questions"", ""description"": ""Create a set of questions with solutions in the domain of Articulatory Phonetics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Phonetics and Phonology Questions"", ""description"": ""Create a set of questions with solutions in the domain of Prosody."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Phonetics and Phonology Questions"", ""description"": ""Create a set of questions with solutions in the domain of Phonological Theory.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Syntax and Semantics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Sentence Structure."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Syntax and Semantics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Grammatical Theory."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Syntax and Semantics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Meaning in Language."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Portuguese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Syntax and Semantics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Pragmatics.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Historical Linguistics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Language Change."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Historical Linguistics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Comparative Linguistics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Historical Linguistics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Etymology."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Historical Linguistics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Proto-Languages.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Sociolinguistics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Language and Society."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""German"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Sociolinguistics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Dialectology."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Bengali"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
